step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,draft,0,0,0.99971278,,0.31166405,36.342121,-0.00028726302
2,1,correction,1,21193,0.73128208,576,0.99736698,34.192917,-0.31295601
3,2,ar,,374,0.99998014,,nan,42.708786,-1.9856238e-05
4,3,draft,0,264,0.99304903,,0.99836481,45.757965,-0.0069752421
5,3,draft,1,13027,0.89634633,,0.99032288,37.590416,-0.10942841
6,3,draft,2,729,0.99419011,,0.91137381,40.743828,-0.0058268306
7,3,bonus,,429,0.90411557,,nan,36.303482,-0.10079808
8,4,ar,,47417,0.41113866,,nan,33.933678,-0.88882476
9,5,draft,0,279,0.9999758,,0.5968288,47.027222,-2.419702e-05
10,5,draft,1,308,0.98180474,,0.99965054,40.436756,-0.018362831
11,5,draft,2,7563,0.99999991,,0.95003125,44.473789,-9.2762263e-08
12,5,bonus,,79683,0.99998144,,nan,41.084442,-1.8560502e-05
13,6,ar,,1372,0.99999998,,nan,52.702812,-2.095684e-08
14,7,draft,0,1667,0.99858441,,0.99999533,38.697319,-0.0014165916
15,7,draft,1,21438,0.99524256,,0.99287803,36.996597,-0.0047687973
16,7,draft,2,2022,0.99999999,,0.95521603,53.240112,-6.2866552e-09
17,7,bonus,,1447,0.74150324,,nan,34.52179,-0.29907575
18,8,ar,,73594,0.99992364,,nan,42.55978,-7.6366585e-05
19,9,draft,0,12669,0.99999853,,0.98335848,49.811123,-1.4724583e-06
20,9,draft,1,198,0.99999992,,0.99992168,38.532928,-7.9079782e-08
21,9,draft,2,750,0.99850673,,0.99987898,39.328217,-0.0014943896
22,9,bonus,,75698,0.93548059,,nan,38.718025,-0.06669488
23,10,ar,,1445,0.97385753,,nan,36.590744,-0.026490259
24,11,draft,0,11,0.99982529,,0.82295016,43.522705,-0.00017472955
25,11,draft,1,21438,0.99800066,,0.92448078,35.368729,-0.0020013398
26,11,draft,2,68085,0.9887131,,0.98591683,38.441452,-0.011351078
27,11,bonus,,982,0.99956948,,nan,41.145912,-0.00043061415
28,12,ar,,262,0.9999999,,nan,47.447952,-1.0143979e-07
29,13,draft,0,421,0.97158882,,0.99988376,43.549614,-0.028822586
30,13,draft,1,308,0.99999878,,0.81492917,44.606239,-1.2238864e-06
31,13,draft,2,304,0.9945616,,0.99787899,43.647873,-0.005453241
32,13,bonus,,21438,0.99999643,,nan,46.458878,-3.5695684e-06
33,14,ar,,510,0.99378193,,nan,45.571819,-0.0062374866
34,15,draft,0,286,0.99999994,,0.97638097,50.177376,-6.4771479e-08
35,15,draft,1,470,0.99998579,,0.99997513,50.272835,-1.42089e-05
36,15,draft,2,21438,0.99999997,,0.99975586,42.099571,-2.6529504e-08
37,15,bonus,,7669,1,,nan,55.927582,-7.0571993e-11
38,16,ar,,921,0.99994925,,nan,47.612495,-5.0756238e-05
39,17,draft,0,262,0.99972722,,0.98461569,47.493347,-0.00027282202
40,17,draft,1,421,0.79496548,,0.95151966,46.035416,-0.22945658
41,17,draft,2,308,0.99999978,,0.86893577,50.275398,-2.1836042e-07
42,17,bonus,,2651,0.76759523,,nan,39.958679,-0.26449273
43,18,ar,,220,0.99999966,,nan,46.292923,-3.4181416e-07
44,19,draft,0,16,0.87437955,,0.99999696,36.089443,-0.13424073
45,19,draft,1,510,0.99999293,,0.81446857,52.133537,-7.0688765e-06
46,19,draft,2,286,0.99999975,,0.99959185,47.147289,-2.4586936e-07
47,19,bonus,,470,0.91863378,,nan,36.825996,-0.084867731
48,20,ar,,308,0.99999383,,nan,47.42025,-6.1669152e-06
49,21,draft,0,198,0.99206509,,0.99842491,39.901131,-0.0079665542
50,21,draft,1,262,0.99999997,,0.99856264,41.335861,-2.746509e-08
51,21,draft,2,21438,0.99923801,,0.99999634,38.7015,-0.00076227684
52,21,bonus,,7669,0.99999999,,nan,48.231071,-1.1886851e-08
53,22,ar,,60,0.99999958,,nan,44.285828,-4.1831028e-07
54,23,draft,0,284,1,,0.99996083,47.791328,-3.0736436e-10
55,23,draft,1,75698,0.99999834,,0.99999994,43.254364,-1.6567917e-06
56,23,draft,2,1445,0.99999999,,0.99942185,46.524612,-7.7677399e-09
57,23,bonus,,481,0.54036682,,nan,51.557201,-0.61550708
58,24,ar,,220,0.99999999,,nan,50.364391,-1.0017466e-08
59,25,draft,0,16,0.99999823,,0.99999963,40.996944,-1.770624e-06
60,25,draft,1,11,0.9998676,,0.99933502,46.376747,-0.00013240902
61,25,draft,2,21438,0.99999981,,0.94218746,36.26133,-1.8554348e-07
62,25,bonus,,8,1,,nan,48.283478,-3.8372949e-10
63,26,ar,,488,1,,nan,50.639694,-8.9651864e-10
64,27,draft,0,75698,0.99999999,,0.99999999,43.48452,-9.783432e-09
65,27,draft,1,1445,1,,0.99999573,52.580929,-1.4492829e-10
66,27,draft,2,481,0.99999999,,0.99999996,47.268585,-6.720893e-09
67,27,bonus,,220,0.99999998,,nan,37.632591,-1.9051008e-08
68,28,ar,,17,0.99999999,,nan,41.622818,-9.1068801e-09
69,29,draft,0,11,0.99999981,,0.99999682,41.270153,-1.9017765e-07
70,29,draft,1,21438,0.99999966,,0.99999141,42.179035,-3.3685699e-07
71,29,draft,2,340,0.99998119,,0.99999493,46.273113,-1.8808591e-05
