step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,draft,0,0,0.99971278,,0.31166405,36.342121,-0.00028726302
2,1,bonus,,21193,0.73128208,,nan,34.192917,-0.31295601
3,2,ar,,374,0.99998014,,nan,42.708786,-1.9856238e-05
4,3,draft,0,264,0.99304903,,0.99836481,45.757965,-0.0069752421
5,3,bonus,,13027,0.89634633,,nan,37.590416,-0.10942841
6,4,ar,,729,0.9941346,,nan,40.70108,-0.0058826706
7,5,draft,0,429,0.90150493,,nan,36.279583,-0.10368976
8,5,correction,1,47417,0.41105864,4675,nan,33.900482,-0.8890194
9,6,ar,,279,0.99997439,,nan,47.054878,-2.5613349e-05
10,7,draft,0,308,0.98209439,,0.99965054,40.445015,-0.018067851
11,7,bonus,,7563,0.9999999,,nan,44.488914,-9.6167849e-08
12,8,draft,0,79683,0.99997947,,nan,41.109306,-2.0530275e-05
13,8,draft,1,1372,0.99999998,,nan,52.622677,-2.201734e-08
14,8,bonus,,1667,0.99866169,,nan,38.781548,-0.0013392095
15,9,draft,0,21438,0.99523503,,nan,36.986713,-0.0047763613
16,9,draft,1,2022,0.99999999,,nan,53.483677,-5.8989129e-09
17,9,bonus,,1447,0.74884467,,nan,34.658806,-0.2892237
18,10,ar,,73594,0.99992475,,nan,42.50589,-7.5257632e-05
19,11,draft,0,12669,0.9999985,,0.98576712,49.88002,-1.5034527e-06
20,11,bonus,,198,0.99999992,,nan,38.428497,-7.7210283e-08
21,12,ar,,750,0.99807209,,nan,39.077808,-0.0019297713
22,13,draft,0,75698,0.93889096,,0.98099634,38.752029,-0.063055934
23,13,bonus,,1445,0.9711672,,nan,36.480751,-0.029256627
24,14,ar,,11,0.99983557,,nan,43.432861,-0.00016443956
25,15,draft,0,21438,0.99820416,,0.92875814,35.427872,-0.001797459
26,15,bonus,,68085,0.99039436,,nan,38.479866,-0.0096520697
27,16,ar,,982,0.99951478,,nan,40.807343,-0.00048534258
28,17,draft,0,262,0.9999999,,0.99778015,47.496632,-9.604979e-08
29,17,bonus,,421,0.97082722,,nan,43.514206,-0.029606766
30,18,ar,,308,0.99999881,,nan,44.912186,-1.1850879e-06
31,19,draft,0,304,0.99429655,,0.99795116,43.528255,-0.0057197808
32,19,bonus,,21438,0.99999684,,nan,46.521431,-3.1590304e-06
33,20,ar,,510,0.99413755,,nan,45.766487,-0.0058797009
34,21,draft,0,286,0.99999992,,0.97773536,49.982376,-7.5516166e-08
35,21,bonus,,470,0.99998414,,nan,50.498962,-1.585535e-05
36,22,ar,,21438,0.99999997,,nan,42.070644,-2.6259527e-08
37,23,draft,0,7669,1,,0.99999795,55.973122,-7.0035533e-11
38,23,bonus,,921,0.99994361,,nan,47.377022,-5.6392821e-05
39,24,ar,,262,0.99969176,,nan,47.39806,-0.00030829134
40,25,draft,0,421,0.81650593,,0.94696123,45.913017,-0.2027211
41,25,bonus,,308,0.9999998,,nan,50.278351,-2.0366317e-07
42,26,correction,0,2651,0.73543595,304,nan,39.853565,-0.30729182
43,27,ar,,220,0.99999966,,nan,46.43782,-3.3596246e-07
44,28,draft,0,16,0.8730527,,0.99999724,36.254196,-0.13575936
45,28,bonus,,510,0.99999247,,nan,52.133247,-7.5320905e-06
46,29,ar,,286,0.99999974,,nan,47.20314,-2.5906423e-07
47,30,draft,0,470,0.91945732,,nan,36.711617,-0.083971657
48,30,correction,1,308,0.99999264,21438,nan,47.140579,-7.3570445e-06
49,31,ar,,198,0.98960373,,nan,39.682968,-0.010450684
50,32,draft,0,262,0.99999997,,0.99835501,41.23645,-3.139224e-08
51,32,bonus,,21438,0.99918906,,nan,38.723812,-0.00081126785
52,33,ar,,7669,0.99999999,,nan,48.226585,-1.4113803e-08
53,34,correction,0,60,0.99999955,921,nan,44.107983,-4.4577966e-07
54,35,ar,,284,1,,nan,47.869858,-3.4799719e-10
55,36,ar,,75698,0.99999842,,nan,43.106644,-1.57603e-06
56,37,draft,0,1445,0.99999999,,0.99935056,46.398476,-8.1628523e-09
57,37,bonus,,481,0.54471152,,nan,51.491547,-0.60749894
58,38,ar,,220,0.99999999,,nan,50.365494,-9.7311527e-09
59,39,draft,0,16,0.99999796,,0.99999963,40.711559,-2.0423863e-06
60,39,bonus,,11,0.99991709,,nan,46.309708,-8.2914032e-05
61,40,ar,,21438,0.99999979,,nan,36.134094,-2.1476105e-07
62,41,correction,0,8,1,68085,nan,48.350441,-4.1083648e-10
63,42,ar,,488,1,,nan,50.496326,-1.1039014e-09
64,43,ar,,75698,0.99999999,,nan,43.442085,-9.7122836e-09
65,44,draft,0,1445,1,,0.99999609,52.578415,-1.4014501e-10
66,44,bonus,,481,0.99999999,,nan,47.632324,-5.996919e-09
67,45,draft,0,220,0.99999998,,nan,37.785233,-1.7873129e-08
68,45,correction,1,17,0.99999999,16,nan,41.647995,-9.6531322e-09
69,46,ar,,11,0.99999983,,nan,41.12439,-1.7390602e-07
70,47,draft,0,21438,0.99999964,,0.99999148,42.270531,-3.5684909e-07
71,47,bonus,,340,0.99997956,,nan,46.103241,-2.0439793e-05
72,48,ar,,262,0.99999917,,nan,45.843765,-8.3335378e-07
73,49,draft,0,470,0.99999985,,0.99997708,47.192554,-1.4768428e-07
74,49,bonus,,21438,0.99999993,,nan,44.884151,-6.7472136e-08
