step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,draft,0,0,0.99973334,,0.31166405,36.456257,-0.00026669168
2,1,correction,1,21193,0.73734374,576,0.99736698,34.214317,-0.30470109
3,2,ar,,374,0.99997968,,nan,42.633408,-2.0324653e-05
4,3,draft,0,264,0.99248629,,0.99836481,45.720451,-0.0075420811
5,3,draft,1,13027,0.89835111,,0.99032288,37.672268,-0.10719429
6,3,draft,2,729,0.99366568,,0.91137381,40.628082,-0.006354466
7,3,draft,3,429,0.90379264,,0.99039991,36.377167,-0.10115533
8,3,draft,4,47417,0.39723104,,0.92071987,33.882,-0.92323719
9,3,draft,5,279,0.99997361,,0.5968288,47.021317,-2.6385811e-05
10,3,draft,6,308,0.98310528,,0.99965054,40.515488,-0.017039067
11,3,bonus,,7563,0.99999989,,nan,44.382301,-1.0626978e-07
12,4,draft,0,79683,0.99998431,,nan,41.294128,-1.5693122e-05
13,4,draft,1,1372,0.99999998,,nan,52.689449,-2.3815151e-08
14,4,draft,2,1667,0.99876051,,nan,38.848118,-0.0012402545
15,4,draft,3,21438,0.99559057,,nan,36.969521,-0.0044191844
16,4,draft,4,2022,0.99999999,,nan,53.515312,-5.5130278e-09
17,4,correction,5,1447,0.73813552,11,nan,34.623028,-0.30362784
18,5,ar,,73594,0.99992929,,nan,42.598457,-7.0710503e-05
19,6,draft,0,12669,0.99999849,,0.98576712,49.839016,-1.5131742e-06
20,6,draft,1,198,0.99999993,,0.99991384,38.572182,-6.9358473e-08
21,6,draft,2,750,0.99826012,,0.99987632,39.237106,-0.0017413933
22,6,draft,3,75698,0.93832477,,0.98099634,38.865257,-0.063659156
23,6,draft,4,1445,0.97467546,,0.89828999,36.530937,-0.025650722
24,6,draft,5,11,0.99983202,,0.81456043,43.498726,-0.00016799303
25,6,draft,6,21438,0.99823937,,0.92875814,35.438316,-0.0017621788
26,6,bonus,,68085,0.98782945,,nan,38.376652,-0.012245216
27,7,ar,,982,0.99951466,,nan,40.442993,-0.00048546277
28,8,draft,0,262,0.99999991,,0.99778015,47.67028,-8.7725125e-08
29,8,draft,1,421,0.97223303,,0.99989388,43.497326,-0.028159763
30,8,draft,2,308,0.9999989,,0.82675643,44.92638,-1.0975825e-06
31,8,draft,3,304,0.99508093,,0.99795116,43.766098,-0.0049312043
32,8,draft,4,21438,0.99999732,,0.82429977,46.625626,-2.6776774e-06
33,8,draft,5,510,0.99426568,,0.99793995,45.836567,-0.005750827
34,8,draft,6,286,0.99999994,,0.97773536,50.147537,-6.346494e-08
35,8,bonus,,470,0.99998687,,nan,50.463493,-1.3132077e-05
36,9,ar,,21438,0.99999997,,nan,42.077496,-2.7582467e-08
37,10,draft,0,7669,1,,0.99999795,55.982956,-6.9298123e-11
38,10,draft,1,921,0.99994869,,0.99998472,47.672478,-5.1306574e-05
39,10,draft,2,262,0.99972132,,0.984627,47.459503,-0.000278714
40,10,draft,3,421,0.805415,,0.94696123,46.12709,-0.21639761
41,10,draft,4,308,0.99999975,,0.90659246,50.390701,-2.4921456e-07
42,10,draft,5,2651,0.78141238,,0.99981294,40.2775,-0.24665225
43,10,draft,6,220,0.99999967,,0.78765774,46.261932,-3.3060537e-07
44,10,bonus,,16,0.87085835,,nan,36.197998,-0.13827595
45,11,ar,,510,0.99999311,,nan,52.252975,-6.8933519e-06
46,12,draft,0,286,0.99999976,,0.99958196,47.471828,-2.3696307e-07
47,12,draft,1,470,0.9209888,,0.99999085,36.98037,-0.082307398
48,12,draft,2,308,0.99999283,,0.93769956,47.147957,-7.170717e-06
49,12,draft,3,198,0.99171313,,0.99727374,39.85466,-0.0083213983
50,12,draft,4,262,0.99999997,,0.99835501,41.29174,-2.7498643e-08
51,12,draft,5,21438,0.99921803,,0.99999646,38.830772,-0.00078227592
52,12,draft,6,7669,0.99999999,,0.98162449,48.10252,-1.4062011e-08
53,12,bonus,,60,0.99999969,,nan,44.281876,-3.112985e-07
54,13,ar,,284,1,,nan,47.939682,-2.8092373e-10
55,14,draft,0,75698,0.9999984,,0.99999994,43.235451,-1.5982263e-06
56,14,draft,1,1445,0.99999999,,0.99935056,46.449791,-7.7824635e-09
57,14,correction,2,481,0.59502843,12,0.99999981,51.880074,-0.51914609
58,15,ar,,220,0.99999999,,nan,50.454224,-9.0811438e-09
59,16,draft,0,16,0.99999837,,0.99999963,41.001484,-1.628009e-06
60,16,draft,1,11,0.99986854,,0.99930689,46.420738,-0.00013146689
61,16,draft,2,21438,0.99999982,,0.94658166,36.298767,-1.8440741e-07
62,16,draft,3,8,1,,0.99999703,48.328289,-3.7686898e-10
63,16,draft,4,488,1,,0.99999961,50.721416,-9.0387542e-10
64,16,draft,5,75698,0.99999999,,0.99999999,43.423576,-9.7303573e-09
65,16,draft,6,1445,1,,0.99999609,52.596458,-1.2252621e-10
66,16,bonus,,481,0.99999999,,nan,47.706406,-5.4680993e-09
67,17,draft,0,220,0.99999998,,nan,37.849018,-1.5218908e-08
68,17,correction,1,17,0.99999999,16,nan,41.865925,-9.1694169e-09
69,18,ar,,11,0.99999983,,nan,41.322617,-1.6567909e-07
70,19,draft,0,21438,0.99999967,,0.99999148,42.264835,-3.3263666e-07
71,19,draft,1,340,0.99998252,,0.99999565,46.498688,-1.7481992e-05
72,19,draft,2,262,0.99999929,,0.99996265,46.105728,-7.0734675e-07
73,19,draft,3,470,0.99999984,,0.99997708,47.228218,-1.6075781e-07
74,19,draft,4,21438,0.99999993,,0.99999842,44.936096,-6.8873102e-08
75,19,draft,5,7669,1,,0.99998829,52.718872,-7.0507156e-10
76,19,draft,6,2533,0.50148776,,0.99998602,43.304428,-0.69017607
77,19,bonus,,2,0.99672431,,nan,42.386189,-0.0032810657
78,20,ar,,13383,0.97549092,,nan,37.812397,-0.024814428
79,21,draft,0,10431,0.98440316,,0.93218466,38.190239,-0.015719753
80,21,draft,1,510,0.81832327,,0.99365227,39.137138,-0.20049783
81,21,correction,2,1350,0.87999418,77,0.91846899,41.548393,-0.12783998
82,22,ar,,955,0.99999277,,nan,49.410606,-7.2317809e-06
83,23,draft,0,579,0.99994921,,0.99993854,42.25489,-5.0788454e-05
84,23,draft,1,39345,1,,0.99892209,47.354225,-3.3843859e-09
85,23,draft,2,7,0.99999995,,0.99999986,47.069954,-4.6127943e-08
86,23,draft,3,16,0.9976469,,0.99994374,37.767723,-0.0023558718
87,23,draft,4,15,0.99998942,,0.93987705,41.021057,-1.0582705e-05
88,23,draft,5,593,0.99332218,,0.998635,41.013401,-0.0067002123
89,23,draft,6,220,0.99990905,,0.99123119,44.224667,-9.0956445e-05
90,23,bonus,,671,0.99999998,,nan,44.012276,-1.850834e-08
91,24,ar,,9258,0.94816131,,nan,36.054749,-0.053230636
92,25,draft,0,25,0.77150487,,0.85907655,36.49054,-0.25941229
93,25,draft,1,220,0.99999839,,0.78278434,40.581402,-1.6074412e-06
94,25,draft,2,20,0.99999972,,0.99904738,41.726906,-2.8199652e-07
95,25,draft,3,20,0.99999993,,0.99859731,39.617176,-6.8518442e-08
96,25,draft,4,198,0.9999942,,0.99999521,40.1157,-5.7986589e-06
97,25,draft,5,13874,0.87414433,,0.99477158,37.439575,-0.13450978
98,25,draft,6,19324,0.99998976,,0.81308331,41.871719,-1.0241034e-05
99,25,bonus,,14374,0.99461247,,nan,43.121487,-0.0054020905
