step,call,source,pos_in_draft,token_id,p_target,rejected_token_id,p_draft,logit,logprob
0,0,ar,,95456,0.53493956,,nan,39.2771,-0.62560151
1,1,draft,0,0,0.99971278,,0.31166405,36.342121,-0.00028726302
2,1,bonus,,21193,0.73128208,,nan,34.192917,-0.31295601
3,2,ar,,374,0.99998014,,nan,42.708786,-1.9856238e-05
4,3,draft,0,264,0.99304903,,0.99836481,45.757965,-0.0069752421
5,3,bonus,,13027,0.89634633,,nan,37.590416,-0.10942841
6,4,ar,,729,0.9941346,,nan,40.70108,-0.0058826706
7,5,draft,0,429,0.90150493,,0.99039991,36.279583,-0.10368976
8,5,bonus,,47417,0.41105864,,nan,33.900482,-0.8890194
9,6,ar,,279,0.99997439,,nan,47.054878,-2.5613349e-05
10,7,draft,0,308,0.98209439,,0.99965054,40.445015,-0.018067851
11,7,bonus,,7563,0.9999999,,nan,44.488914,-9.6167849e-08
12,8,ar,,79683,0.99997891,,nan,41.054764,-2.1089572e-05
13,9,draft,0,1372,0.99999998,,0.99894129,52.641838,-2.2210771e-08
14,9,bonus,,1667,0.99870305,,nan,38.77681,-0.0012977925
15,10,ar,,21438,0.99502471,,nan,36.934525,-0.004987711
16,11,draft,0,2022,0.99999999,,0.95521603,53.351894,-5.9150638e-09
17,11,bonus,,1447,0.74556761,,nan,34.605148,-0.29360946
18,12,ar,,73594,0.99992085,,nan,42.572006,-7.915487e-05
19,13,draft,0,12669,0.99999852,,0.98335848,50.017727,-1.475764e-06
20,13,bonus,,198,0.99999992,,nan,38.497208,-7.9967318e-08
21,14,ar,,750,0.99801289,,nan,38.997925,-0.0019890852
22,15,draft,0,75698,0.93694221,,0.97949491,38.72121,-0.065133675
23,15,bonus,,1445,0.97328103,,nan,36.618679,-0.02708241
24,16,ar,,11,0.99982089,,nan,43.549675,-0.00017912786
25,17,draft,0,21438,0.99811299,,0.92448078,35.403164,-0.0018887955
26,17,bonus,,68085,0.98869057,,nan,38.406433,-0.011373863
27,18,ar,,982,0.99949484,,nan,40.436943,-0.00050528952
28,19,draft,0,262,0.99999991,,0.99772052,47.541359,-9.3217643e-08
29,19,bonus,,421,0.9707236,,nan,43.518654,-0.029713506
30,20,ar,,308,0.99999839,,nan,44.710899,-1.6121918e-06
31,21,draft,0,304,0.99438564,,0.99787899,43.554523,-0.0056301781
32,21,bonus,,21438,0.99999656,,nan,46.579781,-3.438736e-06
33,22,ar,,510,0.9938219,,nan,45.788788,-0.0061972597
34,23,draft,0,286,0.99999993,,0.97638097,50.08287,-7.2677463e-08
35,23,bonus,,470,0.99998538,,nan,50.583344,-1.4621639e-05
36,24,ar,,21438,0.99999997,,nan,42.027359,-2.7136678e-08
37,25,draft,0,7669,1,,0.99999805,56.080864,-6.3779426e-11
38,25,bonus,,921,0.99994469,,nan,47.604347,-5.5306847e-05
39,26,ar,,262,0.99974622,,nan,47.460464,-0.00025381688
40,27,draft,0,421,0.79426215,,0.95151966,46.042297,-0.23034171
41,27,bonus,,308,0.99999979,,nan,50.326195,-2.1403973e-07
42,28,ar,,2651,0.74445133,,nan,39.834175,-0.29510781
43,29,draft,0,220,0.99999971,,0.82235218,46.393471,-2.8984956e-07
44,29,bonus,,16,0.8696359,,nan,36.181221,-0.13968066
45,30,ar,,510,0.99999381,,nan,52.367882,-6.1867345e-06
46,31,draft,0,286,0.99999977,,0.99959185,47.326302,-2.3208337e-07
47,31,bonus,,470,0.92745031,,nan,37.100555,-0.075316058
48,32,ar,,308,0.99999512,,nan,47.323669,-4.8831198e-06
49,33,draft,0,198,0.99204437,,0.99842491,39.889061,-0.0079874473
50,33,bonus,,262,0.99999997,,nan,41.302933,-2.7176194e-08
51,34,ar,,21438,0.99929213,,nan,38.869312,-0.00070812352
52,35,draft,0,7669,0.99999999,,0.98574876,48.271049,-1.4452445e-08
53,35,bonus,,60,0.99999964,,nan,44.309143,-3.6000554e-07
54,36,ar,,284,1,,nan,48.061539,-2.5292546e-10
55,37,draft,0,75698,0.99999843,,0.99999994,43.216354,-1.5706432e-06
56,37,bonus,,1445,0.99999999,,nan,46.62962,-6.7563031e-09
57,38,ar,,481,0.54751889,,nan,51.642487,-0.60235832
58,39,ar,,220,0.99999999,,nan,50.5261,-8.6892772e-09
59,40,draft,0,16,0.99999841,,0.99999963,41.199776,-1.5947873e-06
60,40,bonus,,11,0.99987886,,nan,46.389057,-0.00012114646
61,41,ar,,21438,0.99999982,,nan,36.253609,-1.8413593e-07
62,42,draft,0,8,1,,0.99999694,48.34079,-3.7098258e-10
63,42,bonus,,488,1,,nan,50.489677,-9.3766595e-10
64,43,ar,,75698,0.99999999,,nan,43.446987,-9.6857133e-09
65,44,draft,0,1445,1,,0.99999573,52.82132,-1.1351298e-10
66,44,bonus,,481,0.99999999,,nan,47.505108,-6.3936341e-09
67,45,ar,,220,0.99999998,,nan,37.598091,-1.9832078e-08
68,46,draft,0,17,0.99999999,,0.99999993,41.554237,-8.8658777e-09
69,46,bonus,,11,0.99999977,,nan,41.269966,-2.3266538e-07
70,47,ar,,21438,0.99999966,,nan,42.290035,-3.4185054e-07
71,48,draft,0,340,0.9999824,,0.99999493,46.338058,-1.7595856e-05
72,48,bonus,,262,0.99999923,,nan,45.969551,-7.7232733e-07
73,49,ar,,470,0.99999985,,nan,47.384003,-1.4814898e-07
